Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Night) 8-daily 4 km [MODIS-Aqua ()"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-06-01T23:59:59Z
User Bounding Box:,"150.9219,-23.2471,150.9563,-23.2086"
Data Bounding Box:,"150.938,-23.2292,150.938,-23.2292"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-06-01T23:59:59Z&bbox=150.9219,-23.2471,150.9563,-23.2086&data=MODISA_L3m_NSST_8d_4km_R2019_0_sst&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_NSST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_NSST_8d_4km_R2019_0_sst
2002-07-04 00:00:10,19.0649986
2002-07-11 12:00:11,19.2399998
2002-07-19 12:40:01,19.3149986
2002-07-27 12:00:00,19.2099991
2002-08-06 15:25:00,19.6399994
2002-08-12 12:00:00,19.4200001
2002-08-20 12:40:00,19.3850002
2002-08-28 12:00:01,19.9399986
2002-09-05 12:15:01,21.6999989
2002-09-13 12:00:01,20.8149986
2002-09-21 12:10:01,21.7199993
2002-09-29 12:00:01,22.1199989
2002-10-07 12:15:01,22.4449997
2002-10-15 12:00:01,23.8850002
2002-10-23 12:10:01,23.5149994
2002-10-31 12:00:01,24.5799999
2002-11-08 12:10:00,25.2349987
2002-11-16 12:00:01,24.9099998
2002-11-24 12:10:00,25.3400002
2002-12-02 12:00:01,25.8449993
2002-12-10 12:10:00,26.5550003
2002-12-18 12:00:01,26.2199993
2002-12-26 12:10:00,-32767
2002-12-31 12:30:00,26.8249989
2003-01-08 12:15:01,26.2649994
2003-01-16 12:30:00,25.8499985
2003-01-24 12:15:01,26.1399994
2003-02-01 12:30:00,-32767
2003-02-09 12:15:01,26.4899998
2003-02-17 12:30:00,26.5949993
2003-02-25 12:15:01,25.8199997
2003-03-05 12:30:00,26.5299988
2003-03-13 12:15:00,26.2299995
2003-03-21 12:30:01,26.7999992
2003-03-29 12:15:00,26.8549995
2003-04-06 12:30:01,25.8249989
2003-04-14 12:15:01,25.75
2003-04-22 12:50:00,24.1399994
2003-04-30 12:15:01,23.8349991
2003-05-08 12:50:00,21.7799988
2003-05-16 12:15:01,22.7099991
2003-05-24 12:50:01,22.3999996
2003-06-01 12:15:01,21.7700005
2003-06-09 12:50:01,21.7700005
2003-06-17 12:15:01,20.8500004
2003-06-25 12:50:01,20.0599995
2003-07-03 12:15:00,19.7349987
2003-07-11 12:50:01,19.7399998
2003-07-19 12:15:00,19.5249996
2003-07-27 12:50:01,18.8699989
2003-08-04 12:15:01,18.8400002
2003-08-12 13:20:01,19.7950001
2003-08-20 12:15:01,20.0200005
2003-08-28 12:30:01,20.2999992
2003-09-05 12:15:01,20.8249989
2003-09-13 12:30:00,21.75
2003-09-21 12:15:01,22.4799995
2003-09-29 12:30:00,22.5749989
2003-10-07 12:15:00,23.5749989
2003-10-15 12:30:00,23.5949993
2003-10-23 12:15:00,24.4200001
2003-10-31 12:30:01,26.1099987
2003-11-08 12:15:00,24.9699993
2003-11-16 12:30:01,24.9399986
2003-11-24 12:15:00,26.1800003
2003-12-02 12:30:01,26.1049995
2003-12-10 12:15:00,26.8299999
2003-12-18 12:30:01,26.6749992
2003-12-26 12:15:00,27.4349995
2003-12-31 12:00:00,26.3050003
2004-01-08 12:50:00,28.3099995
2004-01-16 12:00:00,28.8899994
2004-01-24 12:50:00,28.9399986
2004-02-01 12:15:01,-32767
2004-02-09 12:50:00,27.2399998
2004-02-17 12:00:00,29.1299992
2004-02-25 12:50:00,28.5299988
2004-03-04 12:00:00,26.9300003
2004-03-12 12:00:01,27.2449989
2004-03-20 12:00:01,26.7600002
2004-03-28 12:00:01,25.8499985
2004-04-05 12:00:01,24.875
2004-04-13 12:00:01,24.5049992
2004-04-29 12:00:01,24.4099998
2004-05-07 12:30:01,23.375
2004-05-15 12:00:01,23.1749992
2004-05-23 12:30:01,22.6099987
2004-05-31 12:00:01,21.4549999
2004-06-08 12:30:01,21.2349987
2004-06-16 12:00:01,20.5649986
2004-06-24 12:30:01,19.4799995
2004-07-02 12:00:00,20.0100002
2004-07-10 12:30:01,19.4949989
2004-07-18 12:00:00,19.2099991
2004-07-26 12:30:01,19.3599987
2004-08-03 12:00:00,19.8549995
2004-08-11 12:30:01,19.5450001
2004-08-19 12:00:01,19.3950005
2004-08-27 12:30:00,20.2700005
2004-09-04 12:00:01,21
2004-09-12 12:00:01,20.9449997
2004-09-20 12:00:01,21.7150002
2004-09-28 12:00:01,22.8149986
2004-10-06 12:00:01,23.5299988
2004-10-14 12:00:01,23.5900002
2004-10-22 12:50:01,24.6350002
2004-10-30 12:00:01,24.3799992
2004-11-07 12:50:01,25.4650002
2004-11-15 12:00:01,26.3149986
2004-11-23 12:50:01,25.3799992
2004-12-01 12:00:01,25.789999
2004-12-09 12:50:01,26.8349991
2004-12-17 12:00:01,27.8449993
2004-12-25 12:50:01,-32767
2004-12-31 12:10:01,27.5949993
2005-01-08 12:00:01,26.4749985
2005-01-16 12:10:01,26.8999996
2005-01-24 12:00:01,26.4799995
2005-02-01 12:10:01,28.3949986
2005-02-09 12:00:01,27.914999
2005-02-17 12:10:01,27.2099991
2005-02-25 12:00:01,27.2399998
2005-03-05 12:10:01,27.1049995
2005-03-13 12:00:01,26.164999
2005-03-21 12:10:01,26.8499985
2005-03-29 12:00:01,25.1849995
2005-04-06 12:15:00,24.9399986
2005-04-14 12:00:01,24.5199986
2005-04-22 12:40:01,23.9049988
2005-04-30 12:00:01,23.3999996
2005-05-08 12:40:01,23.039999
2005-05-16 12:00:01,22.5299988
2005-05-24 12:40:01,22.4499989
2005-06-01 12:00:00,21.1049995
2005-06-09 12:40:01,21.4349995
2005-06-17 12:00:00,20.5499992
2005-06-25 12:40:01,19.1199989
2005-07-03 12:00:00,20.164999
2005-07-11 12:40:01,19.7849998
2005-07-19 12:00:00,19.0550003
2005-07-27 12:40:00,19.1999989
2005-08-04 12:00:00,19.3400002
2005-08-12 12:40:00,18.8950005
2005-08-20 12:00:01,19.6149998
2005-08-28 12:40:00,19.7649994
2005-09-05 12:00:01,21.0249996
2005-09-13 12:10:01,21.875
2005-09-21 12:00:01,21.9349995
2005-09-29 12:10:01,23.4949989
2005-10-07 12:00:01,23.3999996
2005-10-15 12:10:01,24.1299992
2005-10-23 12:00:01,25.0799999
2005-10-31 12:10:01,25.5249996
2005-11-08 12:00:01,26.7049999
2005-11-16 12:10:01,26.9699993
2005-11-24 12:00:01,26.8599987
2005-12-02 12:10:01,27.6299992
2005-12-10 12:00:01,28.5249996
2005-12-18 12:10:01,28.3349991
2005-12-26 12:00:00,28.7999992
2005-12-31 12:15:00,28.2099991
2006-01-08 12:30:01,28.5299988
2006-01-16 12:15:01,28.7099991
2006-01-24 12:30:01,27.7950001
2006-02-01 12:15:01,26.9799995
2006-02-09 12:30:01,28.9549999
2006-02-17 12:15:01,28.8699989
2006-02-25 12:30:01,26.75
2006-03-05 12:15:01,27.2299995
2006-03-13 12:30:01,26.2249985
2006-03-21 12:15:01,25.8199997
2006-03-29 12:30:01,26.0249996
2006-04-06 12:15:01,25.5349998
2006-04-14 12:35:00,26.0349998
2006-04-22 12:15:01,25.0100002
2006-04-30 12:55:01,24.5799999
2006-05-08 12:15:01,23.0049992
2006-05-16 12:55:01,22.9399986
2006-05-24 12:15:01,21.875
2006-06-01 12:55:01,21.4449997
2006-06-17 12:55:01,19.8149986
2006-06-25 12:15:01,20.0450001
2006-07-03 12:55:01,19.8950005
2006-07-11 12:15:01,19.9799995
2006-07-19 12:55:01,19.414999
2006-07-27 12:20:02,20.0799999
2006-08-04 12:55:02,19.8449993
2006-08-12 12:20:02,19.7999992
2006-08-20 12:55:02,20.664999
2006-08-28 12:20:02,20.3999996
2006-09-05 12:35:01,21.664999
2006-09-13 12:20:02,20.7250004
2006-09-21 12:35:01,21.2999992
2006-09-29 12:20:01,22.5499992
2006-10-07 12:35:01,22.8699989
2006-10-15 12:20:02,22.5849991
2006-10-23 12:35:01,22.9349995
2006-10-31 12:20:02,24.4300003
2006-11-08 12:35:01,25.2649994
2006-11-16 12:20:02,24.4249992
2006-11-24 12:35:01,24.5199986
2006-12-02 12:20:02,-32767
2006-12-10 12:35:02,24.539999
2006-12-18 12:20:02,25.7199993
2006-12-26 12:35:02,-32767
2006-12-31 12:50:02,25.1099987
2007-01-08 12:00:02,26.3949986
2007-01-16 12:50:02,26.7600002
2007-01-24 12:00:01,-32767
2007-02-01 12:00:01,-32767
2007-02-09 12:00:01,26.3299999
2007-02-17 12:00:01,26.0249996
2007-02-25 12:05:01,25.8949986
2007-03-05 12:00:01,27.2199993
2007-03-13 12:05:01,26.9749985
2007-03-21 12:00:01,26.4899998
2007-03-29 12:05:01,25.5699997
2007-04-06 12:00:01,25
2007-04-14 12:35:02,24.1350002
2007-04-22 12:00:01,24.539999
2007-04-30 12:35:00,25.0049992
2007-05-08 12:00:01,24.1700001
2007-05-16 12:35:02,23.8949986
2007-05-24 12:00:01,22.4549999
2007-06-01 12:35:02,23.5450001
2007-06-09 12:00:01,21.2999992
2007-06-17 12:35:02,-32767
2007-06-25 12:00:01,19.0349998
2007-07-03 12:35:02,19.1299992
2007-07-11 12:00:01,18.4750004
2007-07-19 12:35:02,17.4549999
2007-07-27 12:00:01,18.7700005
2007-08-04 12:35:02,18.9300003
2007-08-12 12:00:01,19.3500004
2007-08-20 12:35:00,19.8249989
2007-08-28 12:00:01,19.789999
2007-09-05 12:35:00,19.9200001
2007-09-13 12:00:01,21.1149998
2007-09-21 12:00:01,21.6849995
2007-09-29 12:00:01,21.8099995
2007-10-07 12:00:01,23.3199997
2007-10-15 12:00:01,23.625
2007-10-23 12:00:01,23.7749996
2007-11-08 12:00:01,24.2549992
2007-11-16 12:50:01,23.9549999
2007-11-24 12:00:01,25.664999
2007-12-02 22:35:01,25.2649994
2007-12-10 12:00:01,27.1700001
2007-12-18 12:50:01,27.7399998
2007-12-26 12:00:01,25.7749996
2007-12-31 12:20:01,26.1749992
2008-01-08 12:05:01,26.4599991
2008-01-16 12:20:01,25.7950001
2008-01-24 12:05:01,26.6849995
2008-02-01 12:20:01,25.6199989
2008-02-09 12:05:01,27.2399998
2008-02-17 12:20:00,26.8850002
2008-02-25 12:05:01,25.6099987
2008-03-04 12:20:00,24.4200001
2008-03-12 12:10:00,24.2349987
2008-03-20 12:20:01,24.6700001
2008-03-28 12:10:00,24.5599995
2008-04-05 12:20:01,24.2399998
2008-04-13 12:10:01,23.7250004
2008-04-21 12:45:00,23.6949997
2008-04-29 12:10:01,23.3799992
2008-05-07 12:45:01,23.1149998
2008-05-15 12:10:01,22.3149986
2008-05-23 12:50:01,18.5049992
2008-05-31 12:10:00,20.4099998
2008-06-08 12:50:01,21.0949993
2008-06-16 12:10:00,20.5749989
2008-06-24 12:50:00,19.7449989
2008-07-02 12:10:01,19.9449997
2008-07-10 12:50:00,19.2049999
2008-07-18 12:10:01,19.4099998
2008-07-26 12:50:01,18.9099998
2008-08-03 12:10:01,18.8950005
2008-08-11 12:50:01,18.7600002
2008-08-19 12:10:01,17.9949989
2008-08-27 12:50:01,19.0100002
2008-09-04 12:10:00,20.2600002
2008-09-12 12:25:01,20.7749996
2008-09-20 12:10:01,21.4399986
2008-09-28 12:20:01,22.375
2008-10-06 12:10:01,22.8299999
2008-10-14 12:25:01,23.0649986
2008-10-22 12:10:01,23.1800003
2008-10-30 12:25:00,24.2649994
2008-11-07 12:10:01,25.0149994
2008-11-15 12:25:00,27.1299992
2008-11-23 12:10:01,26.2649994
2008-12-01 12:25:00,25.9449997
2008-12-09 12:10:01,27.8449993
2008-12-17 12:25:00,28.0149994
2008-12-25 12:10:01,27.914999
2008-12-31 12:35:00,29.6299992
2009-01-08 12:20:01,27.0249996
2009-01-16 12:35:01,27.1599998
2009-01-24 12:20:01,26.9049988
2009-02-01 12:35:01,26.3199997
2009-02-09 12:25:01,27.1849995
2009-02-17 12:40:00,27.6399994
2009-02-25 12:25:01,27.3949986
2009-03-05 12:40:00,27.5799999
2009-03-13 12:25:01,25.9200001
2009-03-21 12:40:00,25.7600002
2009-03-29 12:25:00,25.7199993
2009-04-06 12:40:01,25.1199989
2009-04-14 12:25:00,25.1549988
2009-04-22 13:00:00,25.3299999
2009-04-30 12:25:01,25.4549999
2009-05-08 13:00:00,22.9349995
2009-05-16 12:25:01,22.2549992
2009-06-01 12:25:01,21.6999989
2009-06-09 13:00:01,21.3349991
2009-06-17 12:25:01,20.5749989
2009-06-25 13:00:01,21.0699997
2009-07-03 12:20:01,20.3649998
2009-07-11 13:00:01,19.7299995
2009-07-19 12:20:01,19.6049995
2009-07-27 13:00:01,19.7199993
2009-08-04 12:20:00,19.4549999
2009-08-12 13:00:01,20.4849987
2009-08-20 12:20:00,21.4549999
2009-08-28 12:40:01,22.5900002
2009-09-05 12:20:01,22.1399994
2009-09-13 12:35:01,22.7250004
2009-09-21 12:20:01,23.0299988
2009-09-29 12:35:01,22.8850002
2009-10-07 12:20:01,23.3949986
2009-10-15 12:35:00,23.7849998
2009-10-23 12:20:01,24.0599995
2009-10-31 12:35:00,23.3400002
2009-11-08 12:20:01,23.9249992
2009-11-16 12:35:00,25.039999
2009-11-24 12:20:01,26.5249996
2009-12-02 12:35:01,26.914999
2009-12-10 12:20:01,27.4499989
2009-12-18 12:35:01,27.5049992
2009-12-26 12:20:01,27.8999996
2009-12-31 12:05:01,-32767
2010-01-08 12:00:01,27.3249989
2010-01-16 12:05:01,27.6149998
2010-01-24 12:00:01,28.0249996
2010-02-01 12:05:01,26.3050003
2010-02-09 12:00:01,27.1700001
2010-02-17 12:05:01,27.6049995
2010-02-25 12:00:01,26.9099998
2010-03-05 12:05:01,26.9049988
2010-03-13 12:00:01,26.0699997
2010-03-21 12:05:01,24.9300003
2010-03-29 12:00:01,25.2449989
2010-04-06 12:05:01,25.664999
2010-04-14 12:00:01,24.7950001
2010-04-22 12:35:01,24.4449997
2010-04-30 12:00:01,24.539999
2010-05-08 12:35:01,23.75
2010-05-16 12:00:00,22.9449997
2010-05-24 12:35:01,22.8949986
2010-06-01 12:00:00,21.875
2010-06-09 12:35:01,20.0550003
2010-06-17 12:00:00,20.2150002
2010-06-25 12:35:01,20.0100002
2010-07-03 12:00:00,20.1999989
2010-07-11 12:35:00,20.0499992
2010-07-19 12:00:01,20.039999
2010-07-27 12:35:00,20.1800003
2010-08-04 12:00:01,20.0550003
2010-08-12 12:35:00,19.9599991
2010-08-20 12:00:01,20.0499992
2010-08-28 12:35:01,19.8299999
2010-09-05 12:00:01,21.5699997
2010-09-13 12:05:01,22.8299999
2010-09-21 12:00:01,22.1099987
2010-09-29 12:00:01,20.9049988
2010-10-07 12:00:01,-32767
2010-10-15 12:05:00,22.8649998
2010-10-23 12:00:01,23.1149998
2010-10-31 12:05:00,22.4949989
2010-11-08 12:00:01,24.1749992
2010-11-16 12:00:01,24.5049992
2010-11-24 12:50:01,24.1999989
2010-12-02 12:05:01,25.1700001
2010-12-10 12:50:01,28.5149994
2010-12-18 12:05:01,-32767
2010-12-26 12:50:01,-32767
2010-12-31 12:10:01,26.0249996
2011-01-08 12:20:01,27.6849995
2011-01-16 12:10:00,27.4499989
2011-01-24 12:20:01,27.1199989
2011-02-01 12:10:01,26.9449997
2011-02-09 12:20:01,27.7849998
2011-02-17 12:10:01,27.4300003
2011-02-25 12:20:01,27.0349998
2011-03-05 12:10:01,26.3099995
2011-03-13 12:20:00,25.4049988
2011-03-21 12:10:01,27.5049992
2011-03-29 12:20:00,24.9399986
2011-04-06 12:10:01,24.4399986
2011-04-14 12:50:01,24.5649986
2011-04-22 12:10:00,23.75
2011-04-30 12:50:01,23.4499989
2011-05-08 12:10:00,22.4499989
2011-05-16 12:45:01,21.6049995
2011-05-24 12:10:00,21.1149998
2011-06-01 12:45:01,20.6549988
2011-06-09 12:10:00,20.125
2011-06-17 12:45:01,19.875
2011-06-25 12:05:00,19.0699997
2011-07-03 12:45:00,19.6599998
2011-07-11 12:05:00,18.8549995
2011-07-19 12:45:00,18.7250004
2011-07-27 12:10:01,18.5200005
2011-08-04 12:45:00,19.3599987
2011-08-12 12:05:01,19.5949993
2011-08-20 12:45:00,19.4099998
2011-08-28 12:05:01,19.6399994
2011-09-05 12:20:01,19.9549999
2011-09-13 12:05:01,20.2799988
2011-09-21 12:20:00,21.3199997
2011-09-29 12:05:01,21.5299988
2011-10-07 12:20:00,21.4249992
2011-10-15 12:05:01,22.2749996
2011-10-23 12:20:00,22.8699989
2011-10-31 12:05:01,24.5049992
2011-11-08 12:20:00,25.1599998
2011-11-16 12:05:01,25.75
2011-11-24 12:20:00,26.4049988
2011-12-02 12:05:01,25.4499989
2011-12-10 12:20:00,26.3499985
2011-12-18 12:05:01,25.9049988
2011-12-26 12:20:01,26.2150002
2011-12-31 12:40:01,26.1749992
2012-01-08 12:25:01,24.5799999
2012-01-16 12:40:01,26.789999
2012-02-01 12:40:01,27.4249992
2012-02-09 12:25:01,28.7799988
2012-02-17 12:40:01,28.2600002
2012-02-25 12:25:01,27.0450001
2012-03-04 12:40:01,27.7249985
